score,bin_left,bin_right,x_mean,n,positive,proportion,CI_low,CI_high
power_availability,0.0,0.011764705882352941,5.805743458606495e-05,441784,6584,0.01490321061876392,0.014550113991565064,0.015264743328469286
power_availability,0.011764705882352941,0.023529411764705882,0.01939617260802747,4677,108,0.023091725465041693,0.019162647393096387,0.0278035788195901
power_availability,0.023529411764705882,0.03529411764705882,0.031332992559455715,7281,246,0.03378656777915121,0.029876104928701946,0.03818872004018123
power_availability,0.03529411764705882,0.047058823529411764,0.04144437095050748,11347,380,0.03348902793689962,0.030333444716470117,0.03696037324335309
power_availability,0.047058823529411764,0.058823529411764705,0.0543014749833756,5476,181,0.033053323593864134,0.028635958976382166,0.03812536278262838
power_availability,0.058823529411764705,0.07058823529411765,0.0658965968295618,10527,450,0.04274722143060701,0.03904689425624988,0.046781143546335335
power_availability,0.07058823529411765,0.08235294117647059,0.07622202080793689,9604,428,0.044564764681382756,0.040616820296773964,0.0488768981941049
power_availability,0.08235294117647059,0.09411764705882353,0.08981048070159492,11357,566,0.049837104869243636,0.045984966961269726,0.05399367132338068
power_availability,0.09411764705882353,0.10588235294117647,0.10109226334041728,11960,516,0.0431438127090301,0.039646762496588134,0.04693424598518085
power_availability,0.10588235294117647,0.11764705882352941,0.11394636862789008,9902,423,0.04271864269844476,0.038909756720058856,0.04688219365119906
power_availability,0.11764705882352941,0.12941176470588234,0.12349576828811328,8714,505,0.05795271976130365,0.05323888874652094,0.06305612116042011
power_availability,0.12941176470588234,0.1411764705882353,0.13431240078532236,15993,800,0.050021884574501345,0.046750150466281996,0.053509732895650815
power_availability,0.1411764705882353,0.15294117647058825,0.1479021100916076,6673,364,0.05454817922973176,0.04935125176447377,0.06025767984402914
power_availability,0.15294117647058825,0.16470588235294117,0.1568573384270611,9680,477,0.04927685950413223,0.04514100140636254,0.053770310069955335
power_availability,0.16470588235294117,0.1764705882352941,0.1670673845970861,19245,1285,0.06677058976357496,0.06332958050199478,0.07038451675040078
power_availability,0.1764705882352941,0.18823529411764706,0.18269280258522413,9557,538,0.05629381605106205,0.05184858242561051,0.06109560386506874
power_availability,0.18823529411764706,0.2,0.193361591121084,5365,301,0.05610438024231128,0.05025823485088785,0.06258574898948646
power_availability,0.2,0.21176470588235294,0.20342837997524624,13741,723,0.05261625791427116,0.04900668903758747,0.05647589969684021
power_availability,0.21176470588235294,0.22352941176470587,0.2171289504228377,5778,359,0.06213222568362755,0.05619414375632746,0.06865214681766661
power_availability,0.22352941176470587,0.23529411764705882,0.2312174329699751,15485,944,0.06096222150468195,0.057301539288429876,0.06484067927907407
power_availability,0.23529411764705882,0.24705882352941178,0.24189716170626197,4472,306,0.0684257602862254,0.06139034498184346,0.07620198586513821
power_availability,0.24705882352941178,0.2588235294117647,0.2509583596818997,7706,597,0.07747209966260057,0.07171147720033352,0.08365377450017517
power_availability,0.2588235294117647,0.27058823529411763,0.2656515216793324,14826,891,0.06009712666936463,0.05638423288266148,0.06403792158066132
power_availability,0.27058823529411763,0.2823529411764706,0.27537504599234824,8357,588,0.0703601770970444,0.06507196409897378,0.07604319334441498
power_availability,0.2823529411764706,0.29411764705882354,0.28786021101715575,3693,264,0.07148659626320066,0.06361495516802845,0.08024879034145671
power_availability,0.29411764705882354,0.3058823529411765,0.3000687303254187,10721,675,0.06296054472530548,0.05851751219203305,0.06771665770399105
power_availability,0.3058823529411765,0.3176470588235294,0.3111849566355221,7938,459,0.05782312925170068,0.052899163146621825,0.06317485615992587
power_availability,0.3176470588235294,0.32941176470588235,0.3219750216099915,5809,401,0.06903081425374419,0.06279247365399462,0.07583877313459106
power_availability,0.32941176470588235,0.3411764705882353,0.33367623735749,19654,1557,0.07922051490790678,0.07552632625962342,0.08307915773270393
power_availability,0.3411764705882353,0.3529411764705882,0.346836108244845,5776,429,0.07427285318559557,0.0677898855368376,0.081321723312818
power_availability,0.3529411764705882,0.36470588235294116,0.361164957479714,6418,478,0.07447803053910876,0.06830618762827247,0.08115895643913641
power_availability,0.36470588235294116,0.3764705882352941,0.36958008769477874,13015,815,0.06262005378409527,0.05858535594179064,0.06691286630698808
power_availability,0.3764705882352941,0.38823529411764707,0.3841062544810792,4582,336,0.07333042339589699,0.06613465424579917,0.08124101604056416
power_availability,0.38823529411764707,0.4,0.39319988684258816,4186,318,0.07596751075011944,0.06832442341546391,0.08438814700260364
power_availability,0.4,0.4117647058823529,0.4035257759468364,10038,671,0.0668459852560271,0.0621239760026568,0.07189939653709933
power_availability,0.4117647058823529,0.4235294117647059,0.42096062134311224,8574,571,0.06659668766036855,0.06151102644778392,0.07207053533806748
power_availability,0.4235294117647059,0.43529411764705883,0.4306277139909071,9633,712,0.07391259213121561,0.06885612717357625,0.07930875287784112
power_availability,0.43529411764705883,0.44705882352941173,0.4417709128763705,3152,270,0.08565989847715735,0.07638711675856957,0.0959413940101311
power_availability,0.44705882352941173,0.4588235294117647,0.45373524057784165,5318,425,0.07991726212861978,0.07292882485622897,0.08751215509921358
power_availability,0.4588235294117647,0.47058823529411764,0.4649803126181968,9258,670,0.0723698422985526,0.06726748739454266,0.07782692658302123
power_availability,0.47058823529411764,0.4823529411764706,0.4754075837700373,3917,328,0.08373755425070206,0.07546561389847577,0.09282516392327285
power_availability,0.4823529411764706,0.49411764705882355,0.48667674076217854,2976,282,0.09475806451612903,0.08475172224788839,0.10580924103417284
power_availability,0.49411764705882355,0.5058823529411764,0.4999885544503591,24555,2106,0.08576664630421503,0.08232871370319379,0.08933416648151087
power_availability,0.5058823529411764,0.5176470588235293,0.5131916083403544,2936,267,0.0909400544959128,0.08106737677507242,0.10188176056937712
power_availability,0.5176470588235293,0.5294117647058824,0.5249707623229539,4213,369,0.08758604319962023,0.07942114218536467,0.09650234606172767
power_availability,0.5294117647058824,0.5411764705882353,0.5354796338879093,7299,585,0.08014796547472257,0.07413749308809527,0.0866001410834472
power_availability,0.5411764705882353,0.5529411764705883,0.5460447405764084,3976,354,0.08903420523138833,0.08057400265494052,0.09828776010272142
power_availability,0.5529411764705883,0.5647058823529412,0.5573994101687283,2672,237,0.08869760479041916,0.07849968559076395,0.10007646182840713
power_availability,0.5647058823529412,0.5764705882352941,0.5701317116037831,7075,594,0.08395759717314488,0.07771909480392708,0.09064764511445075
power_availability,0.5764705882352941,0.5882352941176471,0.5789057771811102,7986,880,0.11019283746556474,0.10351169904058721,0.11724880890083547
power_availability,0.5882352941176471,0.6,0.5927739388048627,2481,217,0.08746473196291818,0.07697609346892628,0.0992288942844951
power_availability,0.6,0.611764705882353,0.6034329996553761,5549,507,0.09136781402054424,0.08406677242497969,0.09923423956481016
power_availability,0.611764705882353,0.6235294117647059,0.6155506396517074,3526,355,0.1006806579693704,0.09117912260827478,0.11105133650678865
power_availability,0.6235294117647059,0.6352941176470588,0.6297285791564323,6457,548,0.08486913427288215,0.07831600139235288,0.09191592053774346
power_availability,0.6352941176470588,0.6470588235294118,0.6378047425507756,3940,410,0.10406091370558376,0.09490924472223286,0.11398390360098679
power_availability,0.6470588235294118,0.6588235294117647,0.6532308656318361,5482,568,0.10361182050346589,0.0958200836591477,0.11195869875315499
power_availability,0.6588235294117647,0.6705882352941176,0.6665164478892784,16980,1688,0.0994110718492344,0.09500078391600017,0.10400257271656815
power_availability,0.6705882352941176,0.6823529411764706,0.6773384793229368,3256,350,0.1074938574938575,0.09731354738826567,0.11859924092117602
power_availability,0.6823529411764706,0.6941176470588235,0.6906188882539903,5923,652,0.11007935167989194,0.10235978268054215,0.11830437172741538
power_availability,0.6941176470588235,0.7058823529411764,0.6986799492692545,6469,704,0.10882671201113,0.10146867248488775,0.11664905337053924
power_availability,0.7058823529411764,0.7176470588235294,0.7133833806079841,2667,225,0.0843644544431946,0.0744047279241067,0.0955197942978477
power_availability,0.7176470588235294,0.7294117647058823,0.7249730349485336,6528,682,0.10447303921568628,0.09728426528946388,0.11212704198798712
power_availability,0.7294117647058823,0.7411764705882353,0.7327643472229514,8436,849,0.10064011379800854,0.0944008163324098,0.10724295471758498
power_availability,0.7411764705882353,0.7529411764705882,0.7488251637841836,10284,1038,0.10093348891481914,0.09525956695393897,0.10690543210302633
power_availability,0.7529411764705882,0.7647058823529411,0.7578999342973529,3841,420,0.10934652434261911,0.09986482716586567,0.11960884108768066
power_availability,0.7647058823529411,0.7764705882352941,0.7688135434005253,9973,1045,0.1047829138674421,0.09892334783541072,0.11094682675471405
power_availability,0.7764705882352941,0.788235294117647,0.7843730515688484,5254,598,0.11381804339550819,0.10551113033741479,0.1226892572584889
power_availability,0.788235294117647,0.8,0.7915843189436804,4406,431,0.09782115297321833,0.08939652345249265,0.10694646685814828
power_availability,0.8,0.8117647058823529,0.8047906315675541,6774,773,0.11411278417478594,0.10675898047082606,0.12190400438015887
power_availability,0.8117647058823529,0.8235294117647058,0.816953617225101,7882,922,0.11697538695762497,0.11006606423460642,0.12425787804472944
power_availability,0.8235294117647058,0.8352941176470589,0.833076449785519,13951,1566,0.11225001791986237,0.1071181675833901,0.11759534622285703
power_availability,0.8352941176470589,0.8470588235294118,0.8422371938107626,6764,777,0.1148728562980485,0.10749144449324685,0.12269146807931658
power_availability,0.8470588235294118,0.8588235294117647,0.8522903529160536,6233,703,0.11278678004171346,0.10517094626488754,0.12087960642741657
power_availability,0.8588235294117647,0.8705882352941177,0.8647627909241619,7542,870,0.11535401750198886,0.10833949683816586,0.12276017154702588
power_availability,0.8705882352941177,0.8823529411764706,0.8762116786498361,8260,755,0.09140435835351089,0.08537804135223692,0.09781054792119878
power_availability,0.8823529411764706,0.8941176470588235,0.8860960682616551,6556,834,0.1272117144600366,0.11936364286055173,0.13549639747969938
power_availability,0.8941176470588235,0.9058823529411765,0.898700203568825,6267,750,0.11967448539971279,0.1118705395326991,0.1279443989721422
power_availability,0.9058823529411765,0.9176470588235294,0.9103330165977759,7909,967,0.12226577316980655,0.11522884077913698,0.12966946394558632
power_availability,0.9176470588235294,0.9294117647058824,0.9233464340306546,4243,539,0.12703275983973603,0.1173489618919275,0.13739128902412873
power_availability,0.9294117647058824,0.9411764705882353,0.9344623659722991,8221,1005,0.12224790171511982,0.11534282417716533,0.12950584177018357
power_availability,0.9411764705882353,0.9529411764705882,0.946780060249104,2467,318,0.12890149979732468,0.11625326255719419,0.14270364321128987
power_availability,0.9529411764705882,0.9647058823529412,0.9584417282305693,7928,1102,0.13900100908173563,0.13156056422712656,0.14679112374886535
power_availability,0.9647058823529412,0.9764705882352941,0.9680297242038111,6796,931,0.13699234844025898,0.12902236521987476,0.1453724820894461
power_availability,0.9764705882352941,0.9882352941176471,0.9788094226313557,2264,333,0.14708480565371024,0.1330930006877526,0.16227220494219474
power_availability,0.9882352941176471,1.0,0.9999004001031163,83841,11144,0.1329182619482115,0.13063711269835454,0.1352330478382247
