score,bin_left,bin_right,x_mean,n,positive,proportion,CI_low,CI_high
power_availability,0.0,0.0117647058823529,5.805743458606495e-05,441784,551,0.0012472158339822,0.0011473885930303,0.001355716642209
power_availability,0.0117647058823529,0.0235294117647058,0.0193961726080274,4677,3,0.0006414368184733,0.0002181698427037,0.001884327946908
power_availability,0.0235294117647058,0.0352941176470588,0.0313329925594557,7281,5,0.0006867188572998,0.000293359794668,0.0016066759025995
power_availability,0.0352941176470588,0.0470588235294117,0.0414443709505074,11347,11,0.0009694192297523,0.0005414100224741,0.001735201708422
power_availability,0.0470588235294117,0.0588235294117647,0.0543014749833756,5476,1,0.0001826150474799,3.223676734676365e-05,0.0010337537115002
power_availability,0.0588235294117647,0.0705882352941176,0.0658965968295618,10527,7,0.0006649567778094,0.000322147175194,0.0013720630064387
power_availability,0.0705882352941176,0.0823529411764705,0.0762220208079368,9604,20,0.0020824656393169,0.0013485282497416,0.0032145631593536
power_availability,0.0823529411764705,0.0941176470588235,0.0898104807015949,11357,10,0.0008805142203046,0.0004783618409248,0.0016202026806478
power_availability,0.0941176470588235,0.1058823529411764,0.1010922633404172,11960,10,0.0008361204013377,0.0004542405206566,0.0015385524215397
power_availability,0.1058823529411764,0.1176470588235294,0.11394636862789,9902,18,0.0018178145829125,0.0011502028714298,0.0028718137322396
power_availability,0.1176470588235294,0.1294117647058823,0.1234957682881132,8714,14,0.0016066100527886,0.0009572963803635,0.0026951511860552
power_availability,0.1294117647058823,0.1411764705882353,0.1343124007853223,15993,10,0.0006252735571812,0.0003396818836105,0.0011507035079098
power_availability,0.1411764705882353,0.1529411764705882,0.1479021100916076,6673,18,0.0026974374344372,0.0017069889375627,0.0042601227673377
power_availability,0.1529411764705882,0.1647058823529411,0.1568573384270611,9680,12,0.0012396694214876,0.0007093063672033,0.0021657364491301
power_availability,0.1647058823529411,0.1764705882352941,0.1670673845970861,19245,43,0.0022343465835281,0.0016593136013772,0.0030080560693062
power_availability,0.1764705882352941,0.188235294117647,0.1826928025852241,9557,15,0.0015695301872972,0.0009514190991974,0.002588170900956
power_availability,0.188235294117647,0.2,0.193361591121084,5365,14,0.0026095060577819,0.0015551062621104,0.0043756814254977
power_availability,0.2,0.2117647058823529,0.2034283799752462,13741,4,0.0002910996288479,0.0001132086000379,0.0007483116187416
power_availability,0.2117647058823529,0.2235294117647058,0.2171289504228377,5778,15,0.0025960539979231,0.0015739186247731,0.0042791403118508
power_availability,0.2235294117647058,0.2352941176470588,0.2312174329699751,15485,21,0.0013561511139812,0.0008872145711156,0.002072429566412
power_availability,0.2352941176470588,0.2470588235294117,0.2418971617062619,4472,18,0.0040250447227191,0.0025476061683466,0.0063538393335214
power_availability,0.2470588235294117,0.2588235294117647,0.2509583596818997,7706,21,0.0027251492343628,0.0017831681495632,0.0041626686183572
power_availability,0.2588235294117647,0.2705882352941176,0.2656515216793324,14826,23,0.0015513287467961,0.0010339951354768,0.0023268943898152
power_availability,0.2705882352941176,0.2823529411764706,0.2753750459923482,8357,14,0.0016752423118343,0.0009982011676381,0.0028102024455055
power_availability,0.2823529411764706,0.2941176470588235,0.2878602110171557,3693,37,0.0100189547793122,0.0072775936487109,0.0137786133019452
power_availability,0.2941176470588235,0.3058823529411765,0.3000687303254187,10721,13,0.0012125734539688,0.0007087973891705,0.002073664145135
power_availability,0.3058823529411765,0.3176470588235294,0.3111849566355221,7938,33,0.0041572184429327,0.0029617854369222,0.0058323285205056
power_availability,0.3176470588235294,0.3294117647058823,0.3219750216099915,5809,7,0.0012050266827336,0.0005838443209057,0.0024854736618891
power_availability,0.3294117647058823,0.3411764705882353,0.33367623735749,19654,79,0.0040195380075302,0.0032266745521899,0.0050062466034578
power_availability,0.3411764705882353,0.3529411764705882,0.346836108244845,5776,35,0.0060595567867036,0.0043603498952764,0.0084153394288664
power_availability,0.3529411764705882,0.3647058823529411,0.361164957479714,6418,11,0.0017139295730757,0.0009573237598685,0.0030666713802169
power_availability,0.3647058823529411,0.3764705882352941,0.3695800876947787,13015,13,0.0009988474836726,0.0005838469219883,0.0017083277630698
power_availability,0.3764705882352941,0.388235294117647,0.3841062544810792,4582,37,0.0080750763858577,0.0058642714638668,0.0111100307486462
power_availability,0.388235294117647,0.4,0.3931998868425881,4186,10,0.0023889154323936,0.0012981544605409,0.0043921464864081
power_availability,0.4,0.4117647058823529,0.4035257759468364,10038,8,0.0007969715082685,0.0004038987010414,0.0015719798170629
power_availability,0.4117647058823529,0.4235294117647059,0.4209606213431122,8574,41,0.0047818987637042,0.0035270413375258,0.0064803083241332
power_availability,0.4235294117647059,0.4352941176470588,0.4306277139909071,9633,26,0.0026990553306342,0.0018426357871477,0.0039519452547124
power_availability,0.4352941176470588,0.4470588235294117,0.4417709128763705,3152,15,0.0047588832487309,0.0028861145212871,0.0078373198661108
power_availability,0.4470588235294117,0.4588235294117647,0.4537352405778416,5318,13,0.0024445280180518,0.0014291939793046,0.0041781618676518
power_availability,0.4588235294117647,0.4705882352941176,0.4649803126181968,9258,72,0.0077770576798444,0.0061805962656375,0.0097818297247031
power_availability,0.4705882352941176,0.4823529411764706,0.4754075837700373,3917,2,0.000510594842992,0.0001400346917956,0.0018599081528845
power_availability,0.4823529411764706,0.4941176470588235,0.4866767407621785,2976,10,0.0033602150537634,0.0018262516212733,0.0061746635784666
