event_id,oblast,event_date,evidence_tier
CAL_UA68_20240727,Khmelnytskyi Oblast,2024-07-27,P2
CAL_UA35_20240727,Kirovohrad Oblast,2024-07-27,P2
CAL_UA48_20240727,Mykolaiv Oblast,2024-07-27,P2
CAL_UA51_20240727,Odesa Oblast,2024-07-27,P2
CAL_UA56_20240727,Rivne Oblast,2024-07-27,P2
CAL_UA07_20240727,Volyn Oblast,2024-07-27,P1
CAL_UA21_20240727,Zakarpattia Oblast,2024-07-27,P2
CAL_UA71_20240728,Cherkasy Oblast,2024-07-28,P2
CAL_UA74_20240728,Chernihiv Oblast,2024-07-28,P2
CAL_UA68_20240728,Khmelnytskyi Oblast,2024-07-28,P2
CAL_UA35_20240728,Kirovohrad Oblast,2024-07-28,P2
CAL_UA48_20240728,Mykolaiv Oblast,2024-07-28,P2
CAL_UA51_20240728,Odesa Oblast,2024-07-28,P2
CAL_UA56_20240728,Rivne Oblast,2024-07-28,P2
CAL_UA07_20240728,Volyn Oblast,2024-07-28,P1
CAL_UA23_20240728,Zaporizhzhia Oblast,2024-07-28,P2
CAL_UA18_20240728,Zhytomyr Oblast,2024-07-28,P2
CAL_UA12_20240729,Dnipropetrovsk Oblast,2024-07-29,P2
CAL_UA32_20240729,Kyiv Oblast,2024-07-29,P2
CAL_UA07_20240729,Volyn Oblast,2024-07-29,P1
CAL_UA23_20240906,Zaporizhzhia Oblast,2024-09-06,P1
