event_id,entity_type,entity_code,start_utc,end_utc
E2024_0826_ATTACK,country,UA,2024-08-25 00:00:00,2024-08-30 00:00:00
E2024_0917_SUMY,country,UA,2024-09-16 00:00:00,2024-09-20 00:00:00
E2024_1117_ATTACK,country,UA,2024-11-16 00:00:00,2024-11-23 00:00:00
E2024_1128_ATTACK,country,UA,2024-11-27 00:00:00,2024-12-02 00:00:00
E2024_1128_ATTACK,asn,6849,2024-11-27 00:00:00,2024-12-02 00:00:00
E2024_1128_ATTACK,asn,15895,2024-11-27 00:00:00,2024-12-02 00:00:00
E2024_1128_ATTACK,asn,13188,2024-11-27 00:00:00,2024-12-02 00:00:00
E2024_1213_ATTACK,country,UA,2024-12-12 00:00:00,2024-12-16 00:00:00
E2024_1225_ATTACK,country,UA,2024-12-24 00:00:00,2024-12-28 00:00:00
