bin_index,source_low,recomputed_low,source_high,recomputed_high,max_abs_difference
1,0.0011473885930303,0.0011473885930303725,0.001355716642209,0.0013557166422090412,7.24247051220317e-17
2,0.0002181698427037,0.00021816984270379264,0.001884327946908,0.0018843279469080807,9.264507563888635e-17
3,0.000293359794668,0.0002933597946680672,0.0016066759025995,0.0016066759025995091,6.722053469410127e-17
4,0.0005414100224741,0.0005414100224741911,0.001735201708422,0.0017352017084220084,9.107298248878237e-17
5,3.223676734676365e-05,3.223676734676365e-05,0.0010337537115002,0.001033753711500275,7.502679033599691e-17
6,0.000322147175194,0.0003221471751940181,0.0013720630064387,0.0013720630064387152,1.8106176280507924e-17
7,0.0013485282497416,0.0013485282497416112,0.0032145631593536,0.003214563159353665,6.505213034913027e-17
8,0.0004783618409248,0.00047836184092487136,0.0016202026806478,0.0016202026806478977,9.77950359581925e-17
9,0.0004542405206566,0.0004542405206566408,0.0015385524215397,0.0015385524215397227,4.082021179407924e-17
10,0.0011502028714298,0.0011502028714298475,0.0028718137322396,0.0028718137322396114,4.7488055154865094e-17
11,0.0009572963803635,0.000957296380363507,0.0026951511860552,0.0026951511860552418,4.163336342344337e-17
12,0.0003396818836105,0.0003396818836105705,0.0011507035079098,0.001150703507909822,7.047314121155779e-17
13,0.0017069889375627,0.001706988937562744,0.0042601227673377,0.004260122767337791,9.107298248878237e-17
14,0.0007093063672033,0.0007093063672033104,0.0021657364491301,0.002165736449130104,1.0408340855860843e-17
15,0.0016593136013772,0.0016593136013772045,0.0030080560693062,0.0030080560693062585,5.854691731421724e-17
16,0.0009514190991974,0.00095141909919743,0.002588170900956,0.002588170900956007,3.003240017784847e-17
17,0.0015551062621104,0.0015551062621104656,0.0043756814254977,0.004375681425497716,6.570265165262157e-17
18,0.0001132086000379,0.0001132086000379661,0.0007483116187416,0.0007483116187416343,6.609567494014756e-17
19,0.0015739186247731,0.0015739186247731988,0.0042791403118508,0.0042791403118508905,9.8879238130678e-17
20,0.0008872145711156,0.0008872145711156253,0.002072429566412,0.0020724295664120403,4.0332320816460765e-17
21,0.0025476061683466,0.002547606168346612,0.0063538393335214,0.006353839333521466,6.591949208711867e-17
22,0.0017831681495632,0.0017831681495632415,0.0041626686183572,0.004162668618357287,8.673617379884035e-17
23,0.0010339951354768,0.0010339951354768912,0.0023268943898152,0.002326894389815286,9.128982292327947e-17
24,0.0009982011676381,0.000998201167638105,0.0028102024455055,0.0028102024455055655,6.548581121812447e-17
25,0.0072775936487109,0.007277593648710917,0.0137786133019452,0.013778613301945238,3.8163916471489756e-17
26,0.0007087973891705,0.0007087973891705114,0.002073664145135,0.0020736641451350505,5.0306980803327406e-17
27,0.0029617854369222,0.002961785436922222,0.0058323285205056,0.0058323285205056155,2.211772431870429e-17
28,0.0005838443209057,0.0005838443209057331,0.0024854736618891,0.0024854736618891717,7.155734338404329e-17
29,0.0032266745521899,0.003226674552189921,0.0050062466034578,0.005006246603457821,2.1250362580715887e-17
30,0.0043603498952764,0.004360349895276431,0.0084153394288664,0.00841533942886648,7.979727989493313e-17
31,0.0009573237598685,0.0009573237598685259,0.0030666713802169,0.0030666713802169855,8.543513119185775e-17
32,0.0005838469219883,0.0005838469219883008,0.0017083277630698,0.0017083277630698351,3.5128150388530344e-17
33,0.0058642714638668,0.005864271463866822,0.0111100307486462,0.011110030748646214,2.168404344971009e-17
34,0.0012981544605409,0.0012981544605409942,0.0043921464864081,0.004392146486408137,9.410874857174178e-17
35,0.0004038987010414,0.0004038987010414385,0.0015719798170629,0.0015719798170629779,7.784571598445922e-17
36,0.0035270413375258,0.003527041337525818,0.0064803083241332,0.006480308324133219,1.9081958235744878e-17
37,0.0018426357871477,0.0018426357871477149,0.0039519452547124,0.003951945254712416,1.6479873021779667e-17
38,0.0028861145212871,0.0028861145212871852,0.0078373198661108,0.007837319866110823,8.543513119185775e-17
39,0.0014291939793046,0.0014291939793046964,0.0041781618676518,0.004178161867651877,9.64939933512099e-17
40,0.0061805962656375,0.006180596265637526,0.0097818297247031,0.009781829724703137,3.642919299551295e-17
41,0.0001400346917956,0.00014003469179569065,0.0018599081528845,0.0018599081528845607,9.063930161978817e-17
42,0.0018262516212733,0.0018262516212733883,0.0061746635784666,0.006174663578466686,8.825405684032006e-17
43,0.0055839481273458,0.005583948127345899,0.0076024010481108,0.007602401048110884,9.8879238130678e-17
44,0.0016135722920114,0.0016135722920114113,0.0058158959723948,0.005815895972394841,4.0766001685454967e-17
45,0.0005070343972768,0.0005070343972768271,0.0027753889415804,0.002775388941580476,7.589415207398531e-17
46,0.0101661478678404,0.010166147867840434,0.0152816808805471,0.01528168088054717,7.112366251504909e-17
47,0.0003912952106148,0.00039129521061489125,0.0025840642209648,0.002584064220964824,9.12356128146552e-17
48,0.0069539267112054,0.006953926711205463,0.014662248877234,0.014662248877234,6.245004513516506e-17
49,0.0039157630231413,0.003915763023141312,0.0073631248125519,0.007363124812551985,8.500145032286355e-17
50,0.0063914477598837,0.006391447759883716,0.01036000588416,0.01036000588416008,7.979727989493313e-17
51,0.001108821846363,0.0011088218463630919,0.0052664174126488,0.005266417412648822,9.194034422677078e-17
52,0.0012375335195535,0.001237533519553576,0.0037763785518,0.00377637855180008,7.979727989493313e-17
53,0.0117569642771379,0.011756964277137988,0.0199275915663587,0.01992759156635871,8.847089727481716e-17
54,0.0033844192961899,0.003384419296189936,0.0068064295646505,0.006806429564650592,9.194034422677078e-17
55,0.0017431521523167,0.0017431521523167527,0.0053163250379807,0.005316325037980702,5.2692225582795515e-17
56,0.0104429162748697,0.0104429162748697,0.0165067248933014,0.016506724893301423,2.42861286636753e-17
57,0.007099910300713,0.0070999103007130734,0.0098480492948,0.009848049294800067,7.37257477290143e-17
58,0.0018875076232966,0.001887507623296604,0.0060397057541425,0.006039705754142534,3.382710778154774e-17
59,0.0099642280743664,0.009964228074366432,0.0156550600195835,0.01565506001958354,4.163336342344337e-17
60,0.0016414435026553,0.0016414435026553243,0.004204746159402,0.004204746159402082,8.239936510889834e-17
61,0.0063574087082248,0.006357408708224809,0.0138015785064141,0.013801578506414182,8.153200337090993e-17
62,0.0029693170852352,0.0029693170852352372,0.0061921818883632,0.006192181888363295,9.540979117872439e-17
