"cycle_id","measure_time","measurement_row_n","prefix24_estimate_n","distinct_target_ip_estimate_n","structured_path_nonempty_row_n","reached_target_row_n","responded_hop_sum","star_hop_sum","target_hash_xor","target_hash_sum","measurement_hash_xor","measurement_hash_sum"
202406240328,"2024-06-23 19:28:49.000000",170867,42802,171278,170867,20516,1259559,244083,8357415954362859106,9480446920726576968,16968793779416499825,14466167713602671691
202406240428,"2024-06-23 20:28:49.000000",170870,42802,170626,170870,20669,1262472,242098,4741914831118485872,9637517622692779964,12467206503850858189,12726920898821091339
202406240528,"2024-06-23 21:28:49.000000",170867,42802,171105,170867,21015,1262159,244950,2472282093619491514,11499867495996346204,7136446805209249419,2733006099896726193
202406240628,"2024-06-23 22:28:49.000000",170986,42802,170928,170986,21268,1264560,248199,15520219871171662899,5107888924789964123,17371552869223510859,3368245728174378041
202406240728,"2024-06-23 23:28:49.000000",171044,42802,171700,171044,21425,1261094,253048,7569610435130750200,2110412333812206334,15752546705986404772,2983631146994565296
202406240828,"2024-06-24 00:28:49.000000",170999,42802,170917,170999,21501,1255287,260481,10956927069197520062,13584675604333555278,4047709413354371016,13790536311615539630
202406240928,"2024-06-24 01:28:49.000000",171070,42802,170644,171070,21437,1249199,265607,2255438163753683980,13091488022733207688,9916729134615347744,11536690459845401812
202406241028,"2024-06-24 02:28:49.000000",170995,42802,170354,170995,21124,1261869,249425,16168611911604214800,2025697789826802528,16330738264820851979,6493454400225260323
202406241128,"2024-06-24 03:28:49.000000",171004,42802,170733,171004,20630,1257029,253842,7926615579898652902,7280920698762638124,2836393694621975881,15580457142420189589
202406241228,"2024-06-24 04:28:49.000000",170990,42802,170696,170990,20848,1249388,258844,3402936035612365841,16643072725898781579,17693547805863657828,18321878159925126476
202406241328,"2024-06-24 05:28:49.000000",171004,42802,171622,171004,21059,1245460,258030,14037284561807450072,5664457262986451648,8300810852366968951,4670585898169695021
202406241428,"2024-06-24 06:28:49.000000",170943,42802,171234,170943,20817,1249946,259348,15063373496720142336,12034151927372385108,2647042355350811599,13715375333683186683
202406241528,"2024-06-24 07:28:49.000000",170941,42802,172041,170941,20989,1254726,253279,4007408862888477017,12076319510084708289,17106192927778661677,14763281947565701901
202406241628,"2024-06-24 08:28:49.000000",170939,42802,171142,170939,20099,1259918,242707,4464003570344856427,16277211839402410115,7884293705205681292,5256349046236553546
202406241728,"2024-06-24 09:28:49.000000",170752,42802,170508,170752,20074,1257141,244613,11909174967573463121,814981114809463011,4365878150176831876,15754637534615154024
202406241828,"2024-06-24 10:28:49.000000",170904,42802,170681,170904,19982,1259201,243460,17644101947132948615,7374316670346429679,9427523894680396843,3088282298575835043
202406241928,"2024-06-24 11:28:49.000000",170947,42802,170424,170947,20118,1256829,242462,11080431256011194411,7374594320638896339,5997845133569162017,16014602527897683619
202406242028,"2024-06-24 12:28:49.000000",171012,42802,171127,171012,21330,1250323,256371,1977301751368907824,487061199686500918,14391162102458398847,3307599122425238339
202406242128,"2024-06-24 13:28:49.000000",170891,42802,171083,170891,20695,1258898,234216,18258240009713846215,7978182471753638999,16893112093861682170,8116301487816508810
202406242228,"2024-06-24 14:28:49.000000",170850,42802,170461,170850,20522,1249156,238325,1347013925980246140,13769432386407525358,9363200214064187410,2374921103932947004
202406242328,"2024-06-24 15:28:49.000000",170930,42802,171027,170930,19205,1256716,222325,835752676235580736,8151063792640872954,9142278597296788795,10896292135479427147
202406250028,"2024-06-24 16:28:49.000000",170903,42802,170670,170903,19067,1249852,221592,14304864920606852879,1863068445896158673,2880024930922176512,4348779416805477872
202406250128,"2024-06-24 17:28:49.000000",170877,42802,170906,170877,19371,1250258,223041,9839139728056215498,2525458665715596994,9552220324908779358,9692994647747257140
202406250228,"2024-06-24 18:28:49.000000",170958,42802,171020,170958,20485,1256944,235041,8046399955461888761,14658680007944426627,17781466491884615710,936556987568290890
202406250528,"2024-06-24 21:28:49.000000",170903,42802,171153,170903,21029,1251603,240503,9974281424065861092,1749494219099113418,9888311779933347383,11529698419910790839
202406250628,"2024-06-24 22:28:49.000000",171008,42802,170961,171008,21151,1250731,244205,4900128743577952061,16678748660715406139,9752042857572181602,5218360710822411048
202406250728,"2024-06-24 23:28:49.000000",171064,42802,171046,171064,21330,1246394,246992,1185332486258507732,2395511220160583200,15786612114821542136,11354192322818372212
202406250828,"2024-06-25 00:28:49.000000",170996,42802,171326,170996,21545,1231901,261245,3296926787506508635,13550418749576635393,3788729206250422021,10160286784812712129
202406250928,"2024-06-25 01:28:49.000000",171013,42802,171533,171013,20366,1239650,251706,10590923813953861785,6043777818658385043,17142313954889201480,14680923578540107466
202406251028,"2024-06-25 02:28:49.000000",170908,42802,169984,170908,20541,1231996,255266,12378871660823747799,15721291646788093085,11741579070082687309,11941395162954732967
202406251128,"2024-06-25 03:28:49.000000",171035,42802,171430,171035,20250,1242145,250236,4321716121805229496,2093690742466777832,16247032105700925267,17680995396347557775
202406251228,"2024-06-25 04:28:49.000000",171022,42802,171397,171022,20297,1240210,252203,10127896890120485752,15318923574225269450,18271538416299196870,12255492886464517760
202406251328,"2024-06-25 05:28:49.000000",171050,42802,171075,171050,20082,1240372,247287,17289728267793585857,7683420385012931383,5183043327811035513,15355538217589904711
202406251428,"2024-06-25 06:28:49.000000",171007,42802,171434,171007,20140,1244222,248419,12961643945513386260,2531420404465260130,4251403950575566903,9148964483759911863
202406251528,"2024-06-25 07:28:49.000000",171019,42802,170369,171019,20488,1246085,245537,5520351569623464182,1636905184112385516,13384286399154531982,1750223724768097594
202406251628,"2024-06-25 08:28:49.000000",170872,42802,170972,170872,20306,1236606,248961,13926866303215049230,18132104588718094290,2793006186542985640,17283193540569986306
202406251728,"2024-06-25 09:28:49.000000",171025,42802,170990,171025,20312,1241154,244119,2373284343383718206,11843155341894367164,17645720416742523198,2073825963340345986
202406251828,"2024-06-25 10:28:49.000000",170882,42802,170832,170882,20166,1248036,235909,603085688873976627,4841018730722462825,17375346540810296866,8723336981070140308
202406251928,"2024-06-25 11:28:49.000000",170863,42802,170641,170863,20050,1241560,239628,12165961294764584867,17475337780522647159,6198166415709733038,12418810839574650276
202406252028,"2024-06-25 12:28:49.000000",170907,42802,170641,170907,21137,1240345,243569,12428359554134666121,4574487720802618921,15467749635107471731,2481604620636088673
202406252128,"2024-06-25 13:28:49.000000",170881,42802,170527,170881,20708,1239927,254888,12416394528418821959,4215879251912019087,3871546389379797599,12761763054747635613
202406252228,"2024-06-25 14:28:49.000000",170968,42802,171389,170968,20972,1241728,261667,7734172523558979467,15228061815815919265,16372136596526898004,8363724189159925736
202406252328,"2024-06-25 15:28:49.000000",170956,42802,171533,170956,20779,1243500,260269,16058185199500667583,2453643736171329567,3429311830359351447,11564215018969260541
202406260028,"2024-06-25 16:28:49.000000",170984,42802,171408,170984,20698,1246777,250588,8147973073858812546,8535247225159482358,16604434510528395006,6735725049007120924
202406260128,"2024-06-25 17:28:49.000000",170955,42802,171042,170955,20682,1248576,239197,5858155168890029944,12828189338939121872,16032760572254244187,5355728115711534069
202406260228,"2024-06-25 18:28:49.000000",170939,42802,170424,170939,20682,1255679,233459,8230294524161259920,8992116661376769584,15539807682233957830,16908400508118059448
202406260328,"2024-06-25 19:28:49.000000",170858,42802,170453,170858,20776,1254963,237447,389252342430899355,12708556556894233171,13820941477831899916,13961250533177475614
202406260428,"2024-06-25 20:28:49.000000",170933,42802,169995,170933,21030,1247423,236255,13010392304043868740,17358648149142943032,8061929980111478662,9502223090362416722
202406260528,"2024-06-25 21:28:49.000000",170862,42802,171031,170862,21241,1245236,238600,13983508507104408193,15595860302299585239,8378110028593103461,3256319222339636199
202406260628,"2024-06-25 22:28:49.000000",170963,42802,170861,170963,21179,1245732,245657,7664684324732103720,13201867632787929516,6416379160818692879,8139197914966111357
202406260728,"2024-06-25 23:28:49.000000",171015,42802,170880,171015,21602,1240620,252501,5027671195789463592,2505408305534579242,9320773859684408300,14759210588316648316
