month,query_sha256,file,bytes,row_n,sha256
202406,053a3a82fbdc8e9fae40a078046c380754b1c59b0264eeddf40098124eabd006,/home/wsl/own_traceroute_rebuild_cache_65a59f1/observed_hops_202406.csv,3343491,37378,fbb398f3352b83f5cfcae4fe984a88709569836f572ae2d9c46c0e5b1851fe09
202407,69b69173b9693f478f61138f06e1f23204a10c5e2d8b21cc60344fbb7d4ff713,/home/wsl/own_traceroute_rebuild_cache_65a59f1/observed_hops_202407.csv,4085767,44991,6ec3c789c55e03132b1f3a7b3a632e4e0636fd3268f6401cb6c678207bb0e65c
202408,bee8e2396b0d958ec48153cb562be2666aed28da69ff4c3647f1e560c0646b37,/home/wsl/own_traceroute_rebuild_cache_65a59f1/observed_hops_202408.csv,4110967,45232,3b1434ac09a3e9c7eead5983b8d6e8e3566dade4ecb4538a1fe08bb4f5f0ff96
202409,4db664765cef15bfa4465f9d68eb284c1cbab922140c3dc580c47e7a017d587c,/home/wsl/own_traceroute_rebuild_cache_65a59f1/observed_hops_202409.csv,4150183,45769,dd66e7a82a146fa5c0a53110de90b9993c7be7b464467fd5c06406cd637876f1
202410,e52c166dec0da1d47a868ac32976fe5a0b2baca338e7234eb7a7a48286215fa4,/home/wsl/own_traceroute_rebuild_cache_65a59f1/observed_hops_202410.csv,4374254,48251,55f45420150c4075d2ea2398757c071924a82d49859c8127a688c0f9059c7e62
202411,07b902ee353e2200851702eaa87942e575045e107593c6bcc984a75c27f30545,/home/wsl/own_traceroute_rebuild_cache_65a59f1/observed_hops_202411.csv,4553744,50299,c7a06c8c2f272da88e6f88c8b646c6845f224caf09ba28c091692e5b31a7f1f2
202412,597171f5b9ac42348ac011be5809bca44bf675cb60e3f6af900c8be57443b9e5,/home/wsl/own_traceroute_rebuild_cache_65a59f1/observed_hops_202412.csv,4530043,49994,e4ad4ea6dc825e3ef7cccc281e2e6b2798c226ac82d368a2becf30a72b7037e9
202501,b855681275fc55321a845d6fd8e56114751183f00ca0d100b94b11d6711eae7c,/home/wsl/own_traceroute_rebuild_cache_65a59f1/observed_hops_202501.csv,3728400,41786,7a991853ca574a4075c3898ec0f8c00774f32dc4574b25ec85cf773cfbcf2373
