ip,prefix24,oblast,power_availability,normal_availability,itdk_202408_T,own_traceroute_intermediate,first_seen,last_seen,intermediate_observation_n,terminal_non_target_observation_n,target_address_observation_n,hop_position_min,hop_position_max,frozen_own_traceroute_intermediate,rebuilt_own_traceroute_intermediate,caida_itdk_202408_transit
109.162.31.253,109.162.31.0,Volyn Oblast,0.963302752293578,0.9350152905198776,1,1,2024-06-22 08:50:06.000000,2025-01-09 14:42:10.000000,1171,5221,63,5.0,17.0,1,1,1
109.162.39.252,109.162.39.0,Dnipropetrovsk Oblast,0.5769230769230769,0.5384615384615384,1,1,2024-06-22 08:50:06.000000,2025-01-09 14:42:11.000000,13078,29889,70,5.0,25.0,1,1,1
109.162.39.253,109.162.39.0,Dnipropetrovsk Oblast,0.5384615384615384,0.5769230769230769,1,1,2024-06-22 08:50:06.000000,2025-01-09 14:42:11.000000,11428,30218,85,5.0,30.0,1,1,1
109.162.45.252,109.162.45.0,Dnipropetrovsk Oblast,0.9230769230769231,0.75,1,1,2024-06-22 08:50:07.000000,2025-01-09 14:42:11.000000,3337,7893,72,5.0,28.0,1,1,1
109.162.45.253,109.162.45.0,Dnipropetrovsk Oblast,0.8461538461538461,0.49038461538461536,1,1,2024-06-22 08:50:07.000000,2025-01-09 14:42:11.000000,3325,7614,66,5.0,18.0,1,1,1
109.162.51.252,109.162.51.0,Dnipropetrovsk Oblast,0.6923076923076923,0.46153846153846156,1,1,2024-06-22 08:50:07.000000,2025-01-09 14:42:11.000000,3270,7556,65,5.0,28.0,1,1,1
109.162.51.253,109.162.51.0,Dnipropetrovsk Oblast,0.7307692307692307,0.5480769230769231,1,1,2024-06-22 08:50:07.000000,2025-01-09 13:42:13.000000,3112,7393,68,5.0,30.0,1,1,1
109.162.55.252,109.162.55.0,Dnipropetrovsk Oblast,0.8076923076923077,0.5096153846153846,1,1,2024-06-22 08:50:07.000000,2025-01-09 14:42:12.000000,2917,14956,78,5.0,28.0,1,1,1
109.162.55.253,109.162.55.0,Dnipropetrovsk Oblast,0.7307692307692307,0.5384615384615384,1,1,2024-06-22 08:50:07.000000,2025-01-09 14:42:12.000000,2619,16274,70,5.0,29.0,1,1,1
109.162.58.252,109.162.58.0,Dnipropetrovsk Oblast,0.7307692307692307,0.5673076923076923,1,1,2024-06-22 08:50:07.000000,2025-01-09 14:42:12.000000,1299,3694,61,5.0,25.0,1,1,1
109.162.58.253,109.162.58.0,Dnipropetrovsk Oblast,0.6923076923076923,0.8076923076923077,1,1,2024-06-22 08:50:07.000000,2025-01-09 14:42:12.000000,1264,3698,84,5.0,28.0,1,1,1
109.162.59.252,109.162.59.0,Dnipropetrovsk Oblast,1.0,0.7884615384615384,1,1,2024-06-22 08:50:07.000000,2025-01-09 14:42:12.000000,406,4025,64,5.0,21.0,1,1,1
